epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,398.199,0.7876,0.51605,0.93679,0.80911,0.75119,0.80567,0.50127,1.34293,1.07817,1.48781,0.0014918,0.0014918,0.0014918
79,402.467,0.77733,0.49989,0.92252,0.80911,0.75119,0.80567,0.50127,1.34293,1.07817,1.48781,0.0014852,0.0014852,0.0014852
80,407.243,0.77779,0.53078,0.94489,0.82003,0.73418,0.80484,0.50218,1.35586,1.06074,1.49939,0.0014786,0.0014786,0.0014786
81,412.065,0.75884,0.51133,0.91782,0.82003,0.73418,0.80484,0.50218,1.35586,1.06074,1.49939,0.001472,0.001472,0.001472
82,417.298,0.75744,0.51538,0.9341,0.74658,0.72152,0.78426,0.48512,1.38335,1.19025,1.54499,0.0014654,0.0014654,0.0014654
83,421.119,0.79537,0.4955,0.94926,0.74658,0.72152,0.78426,0.48512,1.38335,1.19025,1.54499,0.0014588,0.0014588,0.0014588
84,426.449,0.85055,0.51226,0.9419,0.71055,0.6962,0.75391,0.47011,1.34701,1.34032,1.47703,0.0014522,0.0014522,0.0014522
85,430.849,0.74912,0.49787,0.92868,0.71055,0.6962,0.75391,0.47011,1.34701,1.34032,1.47703,0.0014456,0.0014456,0.0014456
86,435.613,0.74631,0.50597,0.94462,0.79813,0.7007,0.7788,0.4826,1.38066,1.31045,1.48659,0.001439,0.001439,0.001439
87,440.284,0.86849,0.52732,0.95496,0.79813,0.7007,0.7788,0.4826,1.38066,1.31045,1.48659,0.0014324,0.0014324,0.0014324
88,444.605,0.8504,0.5076,0.96902,0.8037,0.72152,0.78144,0.4749,1.30426,1.30368,1.44526,0.0014258,0.0014258,0.0014258
89,449.394,0.79414,0.53415,0.97502,0.8037,0.72152,0.78144,0.4749,1.30426,1.30368,1.44526,0.0014192,0.0014192,0.0014192
90,454.006,0.77337,0.52325,0.96224,0.72062,0.79747,0.81141,0.48772,1.33211,1.04929,1.42318,0.0014126,0.0014126,0.0014126
91,458.778,0.74546,0.4837,0.92882,0.72062,0.79747,0.81141,0.48772,1.33211,1.04929,1.42318,0.001406,0.001406,0.001406
92,464.668,0.75007,0.47959,0.91381,0.7408,0.83212,0.8308,0.49418,1.3601,0.9307,1.43026,0.0013994,0.0013994,0.0013994
93,469.159,0.68376,0.46477,0.91376,0.7408,0.83212,0.8308,0.49418,1.3601,0.9307,1.43026,0.0013928,0.0013928,0.0013928
94,473.455,0.68046,0.44987,0.89481,0.84215,0.77215,0.84962,0.48609,1.36053,0.97858,1.44563,0.0013862,0.0013862,0.0013862
95,478.874,0.73408,0.46897,0.91172,0.84215,0.77215,0.84962,0.48609,1.36053,0.97858,1.44563,0.0013796,0.0013796,0.0013796
96,483.966,0.7365,0.49087,0.92845,0.73844,0.86076,0.83142,0.49231,1.36109,0.99642,1.40135,0.001373,0.001373,0.001373
97,487.922,0.70884,0.47621,0.92826,0.73844,0.86076,0.83142,0.49231,1.36109,0.99642,1.40135,0.0013664,0.0013664,0.0013664
98,493.78,0.69971,0.46171,0.89569,0.70127,0.87342,0.81484,0.465,1.4114,0.99476,1.42413,0.0013598,0.0013598,0.0013598
99,499.807,0.72857,0.45877,0.90181,0.70127,0.87342,0.81484,0.465,1.4114,0.99476,1.42413,0.0013532,0.0013532,0.0013532
100,503.917,0.73192,0.47042,0.92456,0.74298,0.77215,0.78754,0.46674,1.3798,0.98076,1.38888,0.0013466,0.0013466,0.0013466
101,508.367,0.69428,0.48556,0.91912,0.74298,0.77215,0.78754,0.46674,1.3798,0.98076,1.38888,0.00134,0.00134,0.00134
102,513.143,0.69573,0.46036,0.88429,0.69878,0.78481,0.78256,0.43206,1.43257,0.94991,1.49153,0.0013334,0.0013334,0.0013334
103,517.199,0.71012,0.46347,0.9226,0.69878,0.78481,0.78256,0.43206,1.43257,0.94991,1.49153,0.0013268,0.0013268,0.0013268
104,521.515,0.75069,0.5,0.94102,0.84639,0.62779,0.76749,0.43568,1.40728,0.94018,1.44506,0.0013202,0.0013202,0.0013202
105,527.027,0.69725,0.46815,0.89313,0.84639,0.62779,0.76749,0.43568,1.40728,0.94018,1.44506,0.0013136,0.0013136,0.0013136
106,532.382,0.68752,0.45584,0.91059,0.77422,0.6962,0.77753,0.45644,1.39249,0.97253,1.40444,0.001307,0.001307,0.001307
107,537.434,0.69038,0.45404,0.89813,0.77422,0.6962,0.77753,0.45644,1.39249,0.97253,1.40444,0.0013004,0.0013004,0.0013004
108,541.585,0.71054,0.45702,0.93061,0.84317,0.74684,0.83547,0.47705,1.3623,0.93974,1.42463,0.0012938,0.0012938,0.0012938
109,545.877,0.65917,0.4345,0.90158,0.84317,0.74684,0.83547,0.47705,1.3623,0.93974,1.42463,0.0012872,0.0012872,0.0012872
110,551.095,0.68372,0.45169,0.9001,0.8259,0.75949,0.83026,0.47186,1.38634,0.88375,1.48611,0.0012806,0.0012806,0.0012806
111,555.783,0.66206,0.43252,0.89971,0.8259,0.75949,0.83026,0.47186,1.38634,0.88375,1.48611,0.001274,0.001274,0.001274
112,560.344,0.72118,0.47038,0.90267,0.84044,0.73343,0.82543,0.47227,1.36224,0.87712,1.4417,0.0012674,0.0012674,0.0012674
113,564.232,0.67678,0.44761,0.91965,0.84044,0.73343,0.82543,0.47227,1.36224,0.87712,1.4417,0.0012608,0.0012608,0.0012608
114,569.323,0.69657,0.44987,0.90876,0.9199,0.72691,0.85309,0.50327,1.40877,0.88325,1.42873,0.0012542,0.0012542,0.0012542
115,572.955,0.64534,0.43888,0.90143,0.9199,0.72691,0.85309,0.50327,1.40877,0.88325,1.42873,0.0012476,0.0012476,0.0012476
116,577.431,0.66215,0.44114,0.91868,0.88699,0.72152,0.82483,0.48302,1.42523,0.88624,1.46098,0.001241,0.001241,0.001241
117,582.204,0.73222,0.49136,0.95104,0.88699,0.72152,0.82483,0.48302,1.42523,0.88624,1.46098,0.0012344,0.0012344,0.0012344
118,586.101,0.68071,0.44248,0.9242,0.86644,0.73913,0.82072,0.49293,1.3857,0.87249,1.45954,0.0012278,0.0012278,0.0012278
119,590.077,0.66292,0.45476,0.90619,0.86644,0.73913,0.82072,0.49293,1.3857,0.87249,1.45954,0.0012212,0.0012212,0.0012212
120,594.482,0.65037,0.45603,0.89255,0.84008,0.73151,0.80718,0.47598,1.38615,0.87197,1.4992,0.0012146,0.0012146,0.0012146
121,598.51,0.69273,0.44896,0.91843,0.84008,0.73151,0.80718,0.47598,1.38615,0.87197,1.4992,0.001208,0.001208,0.001208
122,603.083,0.71026,0.43999,0.91853,0.86798,0.67089,0.81614,0.48631,1.37762,0.8781,1.47249,0.0012014,0.0012014,0.0012014
123,607.28,0.69796,0.44921,0.89758,0.86798,0.67089,0.81614,0.48631,1.37762,0.8781,1.47249,0.0011948,0.0011948,0.0011948
124,612.003,0.67789,0.43116,0.87779,0.9086,0.68354,0.81832,0.47119,1.42228,0.93667,1.47802,0.0011882,0.0011882,0.0011882
125,616.917,0.68478,0.43844,0.88739,0.9086,0.68354,0.81832,0.47119,1.42228,0.93667,1.47802,0.0011816,0.0011816,0.0011816
126,622.075,0.73379,0.45504,0.91968,0.89887,0.74684,0.85671,0.49396,1.38564,0.86145,1.45067,0.001175,0.001175,0.001175
127,626.149,0.73443,0.45128,0.89971,0.89887,0.74684,0.85671,0.49396,1.38564,0.86145,1.45067,0.0011684,0.0011684,0.0011684
128,630.927,0.65597,0.42463,0.90094,0.89667,0.73418,0.85611,0.50789,1.36539,0.7929,1.40135,0.0011618,0.0011618,0.0011618
129,634.698,0.61587,0.41293,0.88748,0.89667,0.73418,0.85611,0.50789,1.36539,0.7929,1.40135,0.0011552,0.0011552,0.0011552
130,639.205,0.67112,0.43277,0.89458,0.8787,0.77215,0.85601,0.52083,1.31676,0.84205,1.36368,0.0011486,0.0011486,0.0011486
131,644.501,0.70168,0.44031,0.89791,0.8787,0.77215,0.85601,0.52083,1.31676,0.84205,1.36368,0.001142,0.001142,0.001142
132,649.221,0.63601,0.42241,0.86471,0.8976,0.77677,0.8488,0.50861,1.32874,0.88923,1.38454,0.0011354,0.0011354,0.0011354
133,653.642,0.63657,0.43982,0.88997,0.8976,0.77677,0.8488,0.50861,1.32874,0.88923,1.38454,0.0011288,0.0011288,0.0011288
134,658.727,0.65173,0.42691,0.91629,0.8642,0.75949,0.79763,0.52932,1.30467,0.88313,1.34762,0.0011222,0.0011222,0.0011222
135,662.981,0.6222,0.41218,0.88559,0.8642,0.75949,0.79763,0.52932,1.30467,0.88313,1.34762,0.0011156,0.0011156,0.0011156
136,667.274,0.61843,0.41905,0.88809,0.86956,0.75946,0.79882,0.51668,1.35282,0.84835,1.38029,0.001109,0.001109,0.001109
137,672.033,0.6635,0.42445,0.8989,0.86956,0.75946,0.79882,0.51668,1.35282,0.84835,1.38029,0.0011024,0.0011024,0.0011024
138,676.876,0.64565,0.42584,0.88275,0.86863,0.75949,0.83862,0.52426,1.3229,0.84263,1.35852,0.0010958,0.0010958,0.0010958
139,681.068,0.62594,0.41947,0.87816,0.86863,0.75949,0.83862,0.52426,1.3229,0.84263,1.35852,0.0010892,0.0010892,0.0010892
140,685.688,0.58622,0.39342,0.88017,0.77451,0.75949,0.83009,0.5373,1.28069,0.86957,1.3352,0.0010826,0.0010826,0.0010826
141,690.583,0.62803,0.40649,0.88331,0.77451,0.75949,0.83009,0.5373,1.28069,0.86957,1.3352,0.001076,0.001076,0.001076
142,695.295,0.62531,0.40617,0.90191,0.91039,0.64301,0.81461,0.51353,1.32128,0.93974,1.36429,0.0010694,0.0010694,0.0010694
143,699.845,0.65623,0.43166,0.89633,0.91039,0.64301,0.81461,0.51353,1.32128,0.93974,1.36429,0.0010628,0.0010628,0.0010628
144,704.43,0.64089,0.411,0.89473,0.90916,0.65823,0.81151,0.50013,1.32458,0.90671,1.3639,0.0010562,0.0010562,0.0010562
145,708.518,0.61813,0.40753,0.87457,0.90916,0.65823,0.81151,0.50013,1.32458,0.90671,1.3639,0.0010496,0.0010496,0.0010496
146,713.488,0.63286,0.42049,0.884,0.8972,0.70886,0.84554,0.52761,1.29609,0.87049,1.35775,0.001043,0.001043,0.001043
147,718.411,0.64909,0.41646,0.86455,0.8972,0.70886,0.84554,0.52761,1.29609,0.87049,1.35775,0.0010364,0.0010364,0.0010364
148,722.947,0.64083,0.40221,0.90712,0.93432,0.70886,0.85416,0.52504,1.29904,0.89011,1.38424,0.0010298,0.0010298,0.0010298
149,727.587,0.60093,0.39289,0.8567,0.93432,0.70886,0.85416,0.52504,1.29904,0.89011,1.38424,0.0010232,0.0010232,0.0010232
150,732.003,0.59422,0.39648,0.86546,0.9195,0.72292,0.83194,0.52342,1.28321,0.86374,1.38478,0.0010166,0.0010166,0.0010166
151,736.535,0.56088,0.39295,0.87103,0.9195,0.72292,0.83194,0.52342,1.28321,0.86374,1.38478,0.00101,0.00101,0.00101
152,740.77,0.59816,0.39597,0.88898,0.9185,0.74684,0.82174,0.50191,1.30782,0.85998,1.41298,0.0010034,0.0010034,0.0010034
153,744.955,0.62818,0.39387,0.87687,0.9185,0.74684,0.82174,0.50191,1.30782,0.85998,1.41298,0.0009968,0.0009968,0.0009968
154,747.933,0.62297,0.39947,0.86588,0.92875,0.74684,0.82038,0.49387,1.35254,0.89729,1.44744,0.0009902,0.0009902,0.0009902
155,751.627,0.58669,0.39402,0.88534,0.92875,0.74684,0.82038,0.49387,1.35254,0.89729,1.44744,0.0009836,0.0009836,0.0009836
156,755.841,0.53879,0.36895,0.8615,0.91104,0.74684,0.82222,0.5042,1.35596,0.93058,1.41549,0.000977,0.000977,0.000977
157,759.101,0.54933,0.37678,0.8577,0.91104,0.74684,0.82222,0.5042,1.35596,0.93058,1.41549,0.0009704,0.0009704,0.0009704
158,762.83,0.57797,0.38184,0.88015,0.86553,0.75949,0.82329,0.51785,1.31998,0.91953,1.37783,0.0009638,0.0009638,0.0009638
159,767.246,0.55045,0.38262,0.88714,0.86553,0.75949,0.82329,0.51785,1.31998,0.91953,1.37783,0.0009572,0.0009572,0.0009572
160,771.928,0.6168,0.39209,0.88286,0.89099,0.73418,0.80967,0.51231,1.30881,0.91768,1.38432,0.0009506,0.0009506,0.0009506
161,775.973,0.54499,0.37927,0.85903,0.89099,0.73418,0.80967,0.51231,1.30881,0.91768,1.38432,0.000944,0.000944,0.000944
162,779.867,0.55385,0.38543,0.87699,0.93189,0.72152,0.84042,0.51595,1.32652,0.92437,1.37541,0.0009374,0.0009374,0.0009374
163,783.643,0.56081,0.37897,0.8919,0.93189,0.72152,0.84042,0.51595,1.32652,0.92437,1.37541,0.0009308,0.0009308,0.0009308
